name,slug,site_type,lat,lng,country,has_image,wikipedia_url
"Stone Setting on Waun Llwyd","stone-setting-on-waun-llwyd","stone circle",51.904444444,-3.734166666,"United Kingdom",no,""
"Ffridd Newydd, Stone Circle c.600m NW of","ffridd-newydd-stone-circle-c-600m-nw-of","stone circle",52.502763,-3.9153466,"United Kingdom",no,""
"Cerrig Pryfaid","cerrig-pryfaid","stone circle",53.223695,-3.911916,"United Kingdom",yes,""
"Cwm Rhiwiau Stone Circle","cwm-rhiwiau-stone-circle","stone circle",52.864227,-3.3988256,"United Kingdom",no,""
"Stone circle, cairn alignment, cider millstone and boundary ditch 410m south east of Sourton Tors","stone-circle-cairn-alignment-cider-millstone-and-boundary-ditch-410m-south-east-of-sourton-tors","stone circle",50.6883,-4.05855,"United Kingdom",no,""
"Cefn Maen Amor stone circle","cefn-maen-amor-stone-circle","stone circle",53.244301,-3.8916125,"United Kingdom",no,""
"Grey Yauds stone circle","grey-yauds-stone-circle","stone circle",54.8307,-2.71006,"United Kingdom",no,""
"Gunnerkeld concentric stone circle","gunnerkeld-concentric-stone-circle","stone circle",54.5532,-2.66907,"United Kingdom",no,""
"Blaenau Stone Circle","blaenau-stone-circle","stone circle",52.029404,-3.1102126,"United Kingdom",yes,""
"Fernacre stone circle and two outlying stones","fernacre-stone-circle-and-two-outlying-stones","stone circle",50.5899,-4.62215,"United Kingdom",no,""
"Mayne stone circle (at Little Mayne Farm)","mayne-stone-circle-at-little-mayne-farm","stone circle",50.6825,-2.3932,"United Kingdom",no,""
"Large regular stone circle called Boscawen-Un with two outlying standing stones west of Boscawen Noon Farm","large-regular-stone-circle-called-boscawen-un-with-two-outlying-standing-stones-west-of-boscawen-noo","stone circle",50.0904,-5.61825,"United Kingdom",no,""
"Shap large regular stone circle","shap-large-regular-stone-circle","stone circle",54.5132,-2.66869,"United Kingdom",no,""
"Fancarl Top stone circle","fancarl-top-stone-circle","stone circle",54.0633,-1.90328,"United Kingdom",no,""
"Derreenataggart","derreenataggart","stone circle",51.653889,-9.928889,"Ireland",yes,""
"Stone circle  800m east of Wetheriggs Pottery","stone-circle-800m-east-of-wetheriggs-pottery","stone circle",54.6298,-2.67836,"United Kingdom",no,""
"Treen Common stone circle","treen-common-stone-circle","stone circle",50.1747,-5.5802,"United Kingdom",no,""
"Oddendale concentric stone circle","oddendale-concentric-stone-circle","stone circle",54.5099,-2.63179,"United Kingdom",yes,""
"Sandy Road stone circle","sandy-road-stone-circle","stone circle",56.422393,-3.4074284,"United Kingdom",yes,""
"Oshoro Stone Circle","oshoro-stone-circle","stone circle",43.199611,140.874861,"Japan",yes,""
"Nine Stanes","nine-stanes","stone circle",57.011267,-2.4572274,"United Kingdom",yes,""
"Stone circle, 380m east of King's Crags","stone-circle-380m-east-of-king-s-crags","stone circle",55.0349,-2.31109,"United Kingdom",yes,""
"The Louden Stone Circle, 950m ENE of Camperdown Farm","the-louden-stone-circle-950m-ene-of-camperdown-farm","stone circle",50.5852,-4.64004,"United Kingdom",yes,""
"Schiffssetzung Stenhed","schiffssetzung-stenhed","stone circle",55.53998889,14.15086667,"Sweden",yes,""
"Holašovické Stonehenge","holasovicke-stonehenge","stone circle",48.9664,14.2758,"Czech Republic",yes,""
"Stone circle on Summerhouse Hill","stone-circle-on-summerhouse-hill","stone circle",54.1627,-2.76652,"United Kingdom",yes,""
