name,slug,site_type,lat,lng,country,has_image,wikipedia_url
"Cerrig Arthur Stone Circle","cerrig-arthur-stone-circle","stone circle",52.750226,-4.0286928,"United Kingdom",yes,""
"Treleddyd Fawr stone circle","treleddyd-fawr-stone-circle","stone circle",51.906111111,-5.304722222,"United Kingdom",yes,""
"Sunkenkirk Stone Circle, 230m south east of Swinside","sunkenkirk-stone-circle-230m-south-east-of-swinside","stone circle",54.2825,-3.27378,"United Kingdom",no,""
"Schiffssetzung von Össlöv","schiffssetzung-von-osslov","stone circle",56.87603,13.98025,"Sweden",yes,""
"Blaenau Stone Circle","blaenau-stone-circle","stone circle",52.029404,-3.1102126,"United Kingdom",yes,""
"Steintanz von Netzeband","steintanz-von-netzeband","menhir",54.07331,13.7195,"Germany",yes,""
"Cerrig Pryfaid","cerrig-pryfaid","stone circle",53.223695,-3.911916,"United Kingdom",yes,""
"Cwm Rhiwiau Stone Circle","cwm-rhiwiau-stone-circle","stone circle",52.864227,-3.3988256,"United Kingdom",no,""
"Small stone circle known as the 'Nine Maidens' 60m east of Carthew House","small-stone-circle-known-as-the-nine-maidens-60m-east-of-carthew-house","stone circle",50.1834,-5.24674,"United Kingdom",no,""
"Cefn Maen Amor stone circle","cefn-maen-amor-stone-circle","stone circle",53.244301,-3.8916125,"United Kingdom",no,""
"Ffridd Newydd, Stone Circle c.600m NW of","ffridd-newydd-stone-circle-c-600m-nw-of","stone circle",52.502763,-3.9153466,"United Kingdom",no,""
"Grey Yauds stone circle","grey-yauds-stone-circle","stone circle",54.8307,-2.71006,"United Kingdom",no,""
"Yockenthwaite small stone circle","yockenthwaite-small-stone-circle","stone circle",54.21,-2.15548,"United Kingdom",yes,""
"Nant Croes-y-wernen stone circle","nant-croes-y-wernen-stone-circle","stone circle",52.941388,-3.3435442,"United Kingdom",no,""
"Large regular stone circle 560m north east of Leaze","large-regular-stone-circle-560m-north-east-of-leaze","stone circle",50.5656,-4.63243,"United Kingdom",no,""
"Steinkreise am Schluchsee","steinkreise-am-schluchsee","stone circle",47.8,8.17666667,"Germany",yes,""
"Grey Hill Stone Circle","grey-hill-stone-circle","megalithic monument",51.637959,-2.8137001,"United Kingdom",yes,""
"Monument to the Foresters","monument-to-the-foresters","stone circle",50.770294,4.403991,"Belgium",yes,""
"Large irregular stone circle at Stanton Drew south east of Church Farm","large-irregular-stone-circle-at-stanton-drew-south-east-of-church-farm","stone circle",51.3653,-2.57711,"United Kingdom",yes,""
"Y Capel Stone Circle","y-capel-stone-circle","stone circle",52.589442,-3.4784808,"United Kingdom",no,""
"Berrybrae","berrybrae","stone circle",57.604456,-1.9554923,"United Kingdom",yes,""
"Hengwm Stone Circle","hengwm-stone-circle","stone circle",52.771068,-4.052194,"United Kingdom",no,""
"Stone circle, Mossy Moor Ridge","stone-circle-mossy-moor-ridge","stone circle",54.0718,-1.95573,"United Kingdom",no,""
"Gålrums grave field","galrums-grave-field","megalithic monument",57.3291,18.6573,"Sweden",yes,""
"Stone circle and funerary cairn 440m south west of Great Knott, Lacra","stone-circle-and-funerary-cairn-440m-south-west-of-great-knott-lacra","stone circle",54.2175,-3.30621,"United Kingdom",yes,""
"Large regular stone circle called the Trippet Stones","large-regular-stone-circle-called-the-trippet-stones","stone circle",50.545,-4.63918,"United Kingdom",no,""
"Derreenataggart","derreenataggart","stone circle",51.653889,-9.928889,"Ireland",yes,""
"Large regular stone circle called Boscawen-Un with two outlying standing stones west of Boscawen Noon Farm","large-regular-stone-circle-called-boscawen-un-with-two-outlying-standing-stones-west-of-boscawen-noo","stone circle",50.0904,-5.61825,"United Kingdom",no,""
"Creigiau Eglwyseg Stone Circle","creigiau-eglwyseg-stone-circle","stone circle",52.997919,-3.1514564,"United Kingdom",no,""
"Tynreich stone circle","tynreich-stone-circle","stone circle",56.66169,-3.6717902,"United Kingdom",yes,""
"Treen Common stone circle","treen-common-stone-circle","stone circle",50.1747,-5.5802,"United Kingdom",no,""
"Kerry Hill","kerry-hill","stone circle",52.46667,-3.25,"United Kingdom",no,""
"Fancarl Top stone circle","fancarl-top-stone-circle","stone circle",54.0633,-1.90328,"United Kingdom",no,""
"Small stone circle on Delf Hill","small-stone-circle-on-delf-hill","stone circle",53.7998,-2.15233,"United Kingdom",yes,""
"Arkle Beck stone circle","arkle-beck-stone-circle","stone circle",54.4639,-2.06899,"United Kingdom",no,""
"Cromlec de Pins Rosers","cromlec-de-pins-rosers","megalithic monument",41.620858,2.362747,"Spain",yes,""
"Lorfa stone circle","lorfa-stone-circle","stone circle",51.820271,-3.7627343,"United Kingdom",no,""
"Lled Croen-yr-Ych","lled-croen-yr-ych","stone circle",52.59,-3.61,"United Kingdom",no,""
"Sandy Road stone circle","sandy-road-stone-circle","stone circle",56.422393,-3.4074284,"United Kingdom",yes,""
"Stone circle 200yds (180m) SE of Langthwaite Gill Plantation","stone-circle-200yds-180m-se-of-langthwaite-gill-plantation","stone circle",54.2146,-2.55451,"United Kingdom",yes,""
"Edestad 39:1","edestad-39-1","megalithic monument",56.208564,15.341022,"Sweden",no,""
"Edestad 56:1","edestad-56-1","megalithic monument",56.197911,15.373688,"Sweden",no,""
"Nättraby 109:2","nattraby-109-2","stone circle",56.201176,15.500553,"Sweden",no,""
"Ramdala 42:2","ramdala-42-2","megalithic monument",56.163419,15.75745,"Sweden",no,""
"Endre 35:1","endre-35-1","stone circle",57.622307,18.386793,"Sweden",yes,""
"Jämjö 7:1","jamjo-7-1","stone circle",56.190004,15.814749,"Sweden",no,""
"Torhamn 38:1","torhamn-38-1","stone circle",56.184361,15.956208,"Sweden",no,""
"Gammalstorp 77:3","gammalstorp-77-3","stone circle",56.172329,14.594175,"Sweden",no,""
"Edestad 71:1","edestad-71-1","stone circle",56.200377,15.32595,"Sweden",no,""
"Tving 103:1","tving-103-1","stone circle",56.290302,15.423632,"Sweden",no,""
"Edestad 54:1","edestad-54-1","stone circle",56.218187,15.364427,"Sweden",no,""
"Ramdala 42:1","ramdala-42-1","stone circle",56.163582,15.757421,"Sweden",no,""
"Edestad 25:3","edestad-25-3","stone circle",56.208747,15.332351,"Sweden",no,""
"Fridlevstad 17:1","fridlevstad-17-1","stone circle",56.295489,15.519229,"Sweden",no,""
"Eskelhem 30:1","eskelhem-30-1","stone circle",57.509297,18.209406,"Sweden",no,""
"Stone Circle and Round Cairns, Hirnant","stone-circle-and-round-cairns-hirnant","stone circle",52.439261,-3.835173,"United Kingdom",no,""
"Fridlevstad 4:1","fridlevstad-4-1","megalithic monument",56.263708,15.524322,"Sweden",no,""
"Ceffig Caerau Stone Circle","ceffig-caerau-stone-circle","stone circle",52.59,-3.62,"United Kingdom",no,""
"Stone circle 650m south west of Lune Head Farm","stone-circle-650m-south-west-of-lune-head-farm","stone circle",54.5786,-2.23282,"United Kingdom",no,""
"Fernacre stone circle and two outlying stones","fernacre-stone-circle-and-two-outlying-stones","stone circle",50.5899,-4.62215,"United Kingdom",no,""
"Mare and Foal stone circle, 400m north east of Milestone House","mare-and-foal-stone-circle-400m-north-east-of-milestone-house","stone circle",54.9908,-2.43076,"United Kingdom",yes,""
"Stone Circle and Associated Structures on Bryn y Gorlan","stone-circle-and-associated-structures-on-bryn-y-gorlan","stone circle",52.175892,-3.83016,"United Kingdom",no,""
"Hampton stone circle","hampton-stone-circle","stone circle",50.6768,-2.57295,"United Kingdom",no,""
"Bryn Derwydd stone circle","bryn-derwydd-stone-circle","stone circle",53.257308,-3.9018564,"United Kingdom",no,""
"Stone circle  800m east of Wetheriggs Pottery","stone-circle-800m-east-of-wetheriggs-pottery","stone circle",54.6298,-2.67836,"United Kingdom",no,""
"Parkneuk stone circle","parkneuk-stone-circle","stone circle",56.648356944,-3.314408888,"United Kingdom",yes,""
"Stone circle on Summerhouse Hill","stone-circle-on-summerhouse-hill","stone circle",54.1627,-2.76652,"United Kingdom",yes,""
"Forvie Stone Circle","forvie-stone-circle","stone circle",57.309188,-1.985875,"United Kingdom",no,""
"Broomrigg D: small stone circle in Broomrigg Plantation, 760m north west of Far Shields","broomrigg-d-small-stone-circle-in-broomrigg-plantation-760m-north-west-of-far-shields","stone circle",54.812,-2.70223,"United Kingdom",no,""
"Stone circle 330m north west of Crookhill Farm","stone-circle-330m-north-west-of-crookhill-farm","stone circle",53.3805,-1.72379,"United Kingdom",no,""
"Stone circle, defended settlement, Romano-British farmstead and field system, Roman camp and group of shielings immediately south of Greenlee Lough","stone-circle-defended-settlement-romano-british-farmstead-and-field-system-roman-camp-and-group-of-s","stone circle",55.019816666,-2.352869444,"United Kingdom",yes,""
"Fridlevstad 16:2","fridlevstad-16-2","megalithic monument",56.292584,15.524972,"Sweden",no,""
"Gors Fawr stone circle","gors-fawr-stone-circle","stone circle",51.93152778,-4.71463889,"United Kingdom",yes,""
"A stone circle, standing stone, cairn, recumbent stone and stone alignment on Longash Common","a-stone-circle-standing-stone-cairn-recumbent-stone-and-stone-alignment-on-longash-common","stone circle",50.5533,-4.04314,"United Kingdom",no,""
"Cultoon,stone circle 500m SW of","cultoon-stone-circle-500m-sw-of","stone circle",55.724634,-6.468042,"United Kingdom",yes,""
"Small stone circle on Standingstones Rigg, 720m north west of Linglands Farm","small-stone-circle-on-standingstones-rigg-720m-north-west-of-linglands-farm","stone circle",54.3589,-0.489636,"United Kingdom",no,""
"Stoke Flat West prehistoric field system and stone circle","stoke-flat-west-prehistoric-field-system-and-stone-circle","stone circle",53.2854,-1.62664,"United Kingdom",yes,""
"Fridlevstad 16:3","fridlevstad-16-3","stone circle",56.292541,15.52508,"Sweden",no,""
"Cairnfield and embanked stone circle 550m east of Barbrook Reservoir","cairnfield-and-embanked-stone-circle-550m-east-of-barbrook-reservoir","megalithic monument",53.2916,-1.575,"United Kingdom",yes,""
"Field system and stone circle on Rabbit Warren, 1150m south east of Park Farm","field-system-and-stone-circle-on-rabbit-warren-1150m-south-east-of-park-farm","stone circle",53.2122,-1.58113,"United Kingdom",yes,""
"Aucheleffan, stone setting 550m NW of","aucheleffan-stone-setting-550m-nw-of","stone circle",55.477356,-5.2004895,"United Kingdom",yes,""
"Sherberton stone circle 315m SSE of Little Sherberton","sherberton-stone-circle-315m-sse-of-little-sherberton","stone circle",50.5425,-3.92155,"United Kingdom",no,""
"Stone circle, 960m north east of High Lees Farm","stone-circle-960m-north-east-of-high-lees-farm","stone circle",53.3572,-1.66926,"United Kingdom",yes,""
"Low Kingate concentric stone circle","low-kingate-concentric-stone-circle","stone circle",54.445,-2.90144,"United Kingdom",no,""
"Stone circle and cairn 330m south of Little Hound Tor","stone-circle-and-cairn-330m-south-of-little-hound-tor","stone circle",50.69,-3.93708,"United Kingdom",yes,""
"Small stone circle 220m south-east of Castlehowe Scar","small-stone-circle-220m-south-east-of-castlehowe-scar","stone circle",54.5328,-2.63899,"United Kingdom",no,""
"Stone circle, 380m east of King's Crags","stone-circle-380m-east-of-king-s-crags","stone circle",55.0349,-2.31109,"United Kingdom",yes,""
"Stone Circle 200m SW of Cerrig Cynant","stone-circle-200m-sw-of-cerrig-cynant","stone circle",52.082222222,-3.751111111,"United Kingdom",no,""
"Embanked stone circle on Eyam Moor, 340m south of Leam Hall Farm","embanked-stone-circle-on-eyam-moor-340m-south-of-leam-hall-farm","stone circle",53.3069,-1.65383,"United Kingdom",no,""
"Stone circle 400m south west of Buttern Hill","stone-circle-400m-south-west-of-buttern-hill","stone circle",50.6802,-3.91305,"United Kingdom",yes,""
"Augerum 32:1","augerum-32-1","stone circle",56.200114,15.65033,"Sweden",no,""
"Stone circle and cairnfield on Harland Moor, 375m south west of Park Farm","stone-circle-and-cairnfield-on-harland-moor-375m-south-west-of-park-farm","stone circle",54.3243,-0.963255,"United Kingdom",no,""
"Cefn Llechen Stone Circle","cefn-llechen-stone-circle","stone circle",53.260023,-3.8792177,"United Kingdom",yes,""
"Craddock Moor stone circle and adjacent peat-stack platform 800m NNE of Trewalla Farm","craddock-moor-stone-circle-and-adjacent-peat-stack-platform-800m-nne-of-trewalla-farm","stone circle",50.52,-4.47185,"United Kingdom",no,""
"Shap large regular stone circle","shap-large-regular-stone-circle","stone circle",54.5132,-2.66869,"United Kingdom",no,""
"Cerrig Duon","cerrig-duon","stone circle",51.872332,-3.6698546,"United Kingdom",yes,""
"cromlech de l’Œillet","cromlech-de-l-illet","stone circle",48.878816666,-1.821238888,"France",yes,""
"Mayne stone circle (at Little Mayne Farm)","mayne-stone-circle-at-little-mayne-farm","stone circle",50.6825,-2.3932,"United Kingdom",no,""
"Stone circle 410m SSW of Great Knott, Lacra","stone-circle-410m-ssw-of-great-knott-lacra","stone circle",54.2174,-3.30481,"United Kingdom",no,""
"Stone Circle At Ngr Sj 2804 3635","stone-circle-at-ngr-sj-2804-3635","stone circle",52.91972945,-3.071710611,"United Kingdom",no,""
"Granish Cairn","granish-cairn","stone circle",57.21714,-3.8099799,"United Kingdom",yes,""
"Broomrigg C: small stone circle in Broomrigg Plantation, 1010m south east of Street House","broomrigg-c-small-stone-circle-in-broomrigg-plantation-1010m-south-east-of-street-house","stone circle",54.8109,-2.70444,"United Kingdom",no,""
"Glassel stone circle","glassel-stone-circle","stone circle",57.08669,-2.581045,"United Kingdom",yes,""
"The Goodaver Stone Circle, 610m ESE of Tresibbet Farm","the-goodaver-stone-circle-610m-ese-of-tresibbet-farm","stone circle",50.5486,-4.52975,"United Kingdom",no,""
"Stone circle on Ash Cabin Flat, 560m north east of Reservoir Cottages","stone-circle-on-ash-cabin-flat-560m-north-east-of-reservoir-cottages","stone circle",53.3724,-1.59669,"United Kingdom",no,""
"Balgarthno stone circle","balgarthno-stone-circle","stone circle",56.472184,-3.0513251,"United Kingdom",yes,""
"Standing stones forming a small stone circle on Standing Stones Rigg, 520m west of Ramsdale","standing-stones-forming-a-small-stone-circle-on-standing-stones-rigg-520m-west-of-ramsdale","stone circle",54.4211,-0.582686,"United Kingdom",no,""
"Kamaishi Stone Circle","kamaishi-stone-circle","stone circle",39.921917,140.978833,"Japan",yes,""
"Old Keig","old-keig","stone circle",57.26341,-2.6704827,"United Kingdom",yes,""
"Fernworthy Circle","fernworthy-circle","stone circle",50.6414,-3.9035,"United Kingdom",yes,""
"Fridlevstad 16:1","fridlevstad-16-1","stone circle",56.292583,15.524804,"Sweden",no,""
"Large irregular stone circle and a round cairn on Dean Moor","large-irregular-stone-circle-and-a-round-cairn-on-dean-moor","stone circle",54.5872,-3.48717,"United Kingdom",no,""
"The Louden Stone Circle, 950m ENE of Camperdown Farm","the-louden-stone-circle-950m-ene-of-camperdown-farm","stone circle",50.5852,-4.64004,"United Kingdom",yes,""
"Stone circle, cairn alignment, cider millstone and boundary ditch 410m south east of Sourton Tors","stone-circle-cairn-alignment-cider-millstone-and-boundary-ditch-410m-south-east-of-sourton-tors","stone circle",50.6883,-4.05855,"United Kingdom",no,""
"Broomrigg B1: small stone circle in Broomrigg Plantation, 920m south east of Street House","broomrigg-b1-small-stone-circle-in-broomrigg-plantation-920m-south-east-of-street-house","stone circle",54.8123,-2.70411,"United Kingdom",no,""
"Mull, Glengorm, stone circle","mull-glengorm-stone-circle","stone circle",56.635495,-6.185019,"United Kingdom",no,""
"The Seven Stones","the-seven-stones","stone circle",50.664048,-3.312091,"United Kingdom",yes,""
